Wavelength (nm),Reflectance
300.0,0.05277565169162517
301.0,0.052817652397519385
302.0,0.05285965310341359
303.0,0.05290165380930781
304.0,0.05294365451520203
305.0,0.052985655221096245
306.0,0.053027655926990463
307.0,0.053069656632884675
308.0,0.053111657338778887
309.0,0.053153658044673105
310.0,0.05319565875056732
311.0,0.05323765945646154
312.0,0.05327966016235575
313.0,0.05332166086824997
314.0,0.05336366157414419
315.0,0.053405662280038395
316.0,0.05344766298593261
317.0,0.05348966369182683
318.0,0.05353166439772105
319.0,0.05357366510361527
320.0,0.05361566580950947
321.0,0.05365766651540369
322.0,0.05369966722129791
323.0,0.05374166792719213
324.0,0.05378366863308635
325.0,0.05382566933898056
326.0,0.05386767004487477
327.0,0.05390967075076899
328.0,0.05395167145666321
329.0,0.053993672162557425
330.0,0.05403567286845164
331.0,0.054077673574345855
332.0,0.054119674280240074
333.0,0.05416167498613428
334.0,0.0542036756920285
335.0,0.054245676397922715
336.0,0.054287677103816934
337.0,0.05432967780971115
338.0,0.05437167851560536
339.0,0.054413679221499575
340.0,0.054455679927393794
341.0,0.05449768063328801
342.0,0.05453968133918223
343.0,0.054581682045076435
344.0,0.054623682750970654
345.0,0.05466568345686487
346.0,0.05470768416275908
347.0,0.05474968486865331
348.0,0.05479168557454752
349.0,0.05483368628044174
350.0,0.05487568698633596
351.0,0.05491768769223016
352.0,0.05495968839812438
353.0,0.0550016891040186
354.0,0.05504368980991282
355.0,0.055085690515807036
356.0,0.05512769122170124
357.0,0.05516969192759546
358.0,0.05521169263348968
359.0,0.055253693339383896
360.0,0.055295694045278114
361.0,0.05533769475117232
362.0,0.05537969545706654
363.0,0.055421696162960755
364.0,0.05546369686885497
365.0,0.055505697574749185
366.0,0.055547698280643404
367.0,0.05558969898653762
368.0,0.05563169969243184
369.0,0.055673700398326045
370.0,0.055715701104220264
371.0,0.05575770181011448
372.0,0.0557997025160087
373.0,0.05584170322190292
374.0,0.055883703927797124
375.0,0.05592570463369134
376.0,0.05596770533958556
377.0,0.05600970604547978
378.0,0.056051706751374
379.0,0.0560937074572682
380.0,0.05613570816316242
381.0,0.05617770886905664
382.0,0.05621970957495085
383.0,0.05626171028084507
384.0,0.05630371098673929
385.0,0.056345711692633506
386.0,0.056387712398527724
387.0,0.05642971310442193
388.0,0.05647171381031615
389.0,0.056513714516210366
390.0,0.056555715222104584
391.0,0.0565977159279988
392.0,0.05663971663389301
393.0,0.056681717339787226
394.0,0.056723718045681444
395.0,0.05676571875157566
396.0,0.05680771945746988
397.0,0.056849720163364086
398.0,0.056891720869258304
399.0,0.05693372157515252
400.0,0.05721713810316139
401.0,0.05683860232945091
402.0,0.05712978369384358
403.0,0.057042429284525784
404.0,0.05698419301164725
405.0,0.05718801996672212
406.0,0.05718801996672212
407.0,0.0573044925124792
408.0,0.057275374376039925
409.0,0.0574792013311148
410.0,0.05753743760399334
411.0,0.057624792013311145
412.0,0.05771214642262894
413.0,0.057857737104825294
414.0,0.058265391014975035
415.0,0.05820715474209649
416.0,0.058352745424292835
417.0,0.058614808652246254
418.0,0.05852745424292845
419.0,0.05876039933444259
420.0,0.05905158069883527
421.0,0.0591971713810316
422.0,0.05937188019966721
423.0,0.05963394342762062
424.0,0.0596630615640599
425.0,0.05977953410981697
426.0,0.06007071547420964
427.0,0.060245424292845254
428.0,0.060449251247920124
429.0,0.06053660565723793
430.0,0.0607404326123128
431.0,0.06103161397670548
432.0,0.06094425956738767
433.0,0.06103161397670548
434.0,0.0612063227953411
435.0,0.06138103161397669
436.0,0.0612063227953411
437.0,0.061555740432612305
438.0,0.06146838602329449
439.0,0.06161397670549085
440.0,0.06181780366056571
441.0,0.06181780366056571
442.0,0.06184692179700498
443.0,0.06184692179700499
444.0,0.061992512479201324
445.0,0.06216722129783693
446.0,0.06216722129783693
447.0,0.062138103161397666
448.0,0.06237104825291181
449.0,0.06228369384359401
450.0,0.06245840266222962
451.0,0.06269134775374376
452.0,0.06269134775374376
453.0,0.06274958402662227
454.0,0.06295341098169716
455.0,0.06298252911813643
456.0,0.0630116472545757
457.0,0.06306988352745424
458.0,0.06315723793677203
459.0,0.06324459234608984
460.0,0.06330282861896837
461.0,0.06318635607321131
462.0,0.06321547420965057
463.0,0.06312811980033277
464.0,0.06333194675540764
465.0,0.06324459234608985
466.0,0.06324459234608983
467.0,0.06318635607321131
468.0,0.06330282861896837
469.0,0.06324459234608984
470.0,0.06321547420965057
471.0,0.06333194675540764
472.0,0.06318635607321131
473.0,0.06327371048252912
474.0,0.06330282861896838
475.0,0.06336106489184692
476.0,0.06315723793677203
477.0,0.06321547420965057
478.0,0.06312811980033277
479.0,0.06327371048252912
480.0,0.06312811980033277
481.0,0.06309900166389351
482.0,0.06312811980033277
483.0,0.06312811980033277
484.0,0.06312811980033277
485.0,0.06318635607321132
486.0,0.06330282861896837
487.0,0.06330282861896837
488.0,0.06324459234608984
489.0,0.06336106489184691
490.0,0.06347753743760398
491.0,0.063477537437604
492.0,0.06359400998336105
493.0,0.06368136439267887
494.0,0.06388519134775374
495.0,0.06397254575707152
496.0,0.0641763727121464
497.0,0.06435108153078202
498.0,0.06461314475873545
499.0,0.06484608985024957
500.0,0.06493344425956737
501.0,0.06522462562396006
502.0,0.0654575707154742
503.0,0.06583610648918468
504.0,0.0662728785357737
505.0,0.06670965058236271
506.0,0.06720465890183028
507.0,0.06778702163061563
508.0,0.06842762063227953
509.0,0.06918469217970048
510.0,0.07011647254575705
511.0,0.0709900166389351
512.0,0.07206738768718801
513.0,0.07331946755407653
514.0,0.07460066555740431
515.0,0.07620216306156405
516.0,0.07792013311148085
517.0,0.079783693843594
518.0,0.08179284525790348
519.0,0.0840349417637271
520.0,0.08650998336106487
521.0,0.08910149750415972
522.0,0.09175124792013309
523.0,0.09434276206322793
524.0,0.0971089850249584
525.0,0.09999168053244592
526.0,0.10261231281198004
527.0,0.1051747088186356
528.0,0.1077953410981697
529.0,0.10997920133111481
530.0,0.111959234608985
531.0,0.11402662229617304
532.0,0.11594841930116472
533.0,0.11752079866888518
534.0,0.11891846921797004
535.0,0.12019966722129781
536.0,0.12116056572379365
537.0,0.12215058236272877
538.0,0.12299500831946755
539.0,0.12381031613976705
540.0,0.12436356073211315
541.0,0.12491680532445924
542.0,0.1254700499168053
543.0,0.1261106489184692
544.0,0.12651830282861895
545.0,0.12695507487520796
546.0,0.12742096505823625
547.0,0.12803244592346086
548.0,0.12846921797004993
549.0,0.12896422628951748
550.0,0.12908069883527454
551.0,0.12943011647254576
552.0,0.12943011647254576
553.0,0.12951747088186355
554.0,0.1291098169717138
555.0,0.1287312811980033
556.0,0.12820715474209649
557.0,0.1271880199667221
558.0,0.126634775374376
559.0,0.12555740432612314
560.0,0.12415973377703825
561.0,0.1230241264559068
562.0,0.12168469217970049
563.0,0.12011231281198001
564.0,0.11833610648918466
565.0,0.11655990016638933
566.0,0.11475457570715474
567.0,0.11259983361064889
568.0,0.11067803660565723
569.0,0.10875623960066552
570.0,0.10645590682196336
571.0,0.10435940099833609
572.0,0.10235024958402661
573.0,0.10048668885191346
574.0,0.098914309484193
575.0,0.09731281198003323
576.0,0.09588602329450914
577.0,0.09451747088186356
578.0,0.09344009983361062
579.0,0.09215890183028284
580.0,0.09137271214642263
581.0,0.09020798668885191
582.0,0.08933444259567387
583.0,0.08851913477537436
584.0,0.08790765391014975
585.0,0.0872088186356073
586.0,0.08659733777038268
587.0,0.08601497504159733
588.0,0.0854034941763727
589.0,0.08514143094841929
590.0,0.08461730449251245
591.0,0.08429700499168051
592.0,0.08418053244592345
593.0,0.0837728785357737
594.0,0.08342346089850249
595.0,0.08333610648918467
596.0,0.08321963394342761
597.0,0.08295757071547419
598.0,0.08272462562396006
599.0,0.08260815307820299
600.0,0.08217138103161398
601.0,0.0821422628951747
602.0,0.08173460898502495
603.0,0.08147254575707154
604.0,0.08103577371048253
605.0,0.08048252911813643
606.0,0.07990016638935107
607.0,0.07949251247920132
608.0,0.07888103161397668
609.0,0.07841514143094841
610.0,0.07780366056572378
611.0,0.07719217970049916
612.0,0.07646422628951746
613.0,0.07602745424292845
